t_rel,mode,active,waiting,occupancy,allowed,rate_limited_429,shed_503
0.061,NORMAL,0,0,0.0,9,1,0
0.565,NORMAL,2,0,0.125,11,1,0
1.068,NORMAL,0,0,0.0,13,1,0
1.572,NORMAL,2,0,0.125,13,1,0
2.077,NORMAL,0,0,0.0,15,1,0
2.58,NORMAL,1,0,0.062,16,1,0
3.084,NORMAL,1,0,0.062,18,1,0
3.587,NORMAL,1,0,0.062,19,1,0
4.091,NORMAL,2,0,0.125,20,1,0
4.595,NORMAL,0,0,0.0,22,1,0
5.098,NORMAL,2,0,0.125,22,1,0
5.602,NORMAL,0,0,0.0,25,1,0
6.106,NORMAL,0,0,0.0,26,1,0
6.611,NORMAL,1,0,0.062,27,1,0
7.116,NORMAL,2,0,0.125,28,1,0
7.62,NORMAL,0,0,0.0,30,1,0
8.123,NORMAL,1,0,0.062,31,1,0
8.627,NORMAL,0,0,0.0,32,1,0
9.131,NORMAL,0,0,0.0,34,1,0
9.636,NORMAL,2,0,0.125,34,1,0
10.14,NORMAL,3,0,0.188,36,1,0
10.643,NORMAL,4,8,0.75,38,1,2
11.147,NORMAL,4,7,0.688,42,1,10
11.65,NORMAL,4,6,0.625,44,1,19
12.154,NORMAL,4,6,0.625,47,2,25
12.657,NORMAL,4,5,0.562,50,3,33
13.16,NORMAL,4,5,0.562,52,3,40
13.664,NORMAL,4,4,0.5,56,4,47
14.168,NORMAL,4,5,0.562,58,4,56
14.672,NORMAL,4,2,0.375,61,12,58
15.176,NORMAL,4,4,0.5,64,16,60
15.679,NORMAL,4,4,0.5,67,16,67
16.183,NORMAL,4,4,0.5,70,18,74
16.687,NORMAL,4,2,0.375,73,28,74
17.19,NORMAL,4,5,0.562,75,28,79
17.694,NORMAL,4,4,0.5,78,28,87
18.198,NORMAL,4,3,0.438,81,34,90
18.701,NORMAL,4,5,0.562,83,40,91
19.206,NORMAL,4,5,0.562,87,40,99
19.712,NORMAL,4,4,0.5,89,40,107
